LAT,LON,YEAR,DOY,T2M_MAX,T2M_MIN
14.25,-85.25,2015,261,31.26,22.5
14.25,-84.75,2015,261,31.53,23.06
14.25,-84.25,2015,261,31.44,23.73
14.75,-86.25,2015,261,30.78,21.43
14.75,-85.75,2015,261,30.91,21.81
14.75,-85.25,2015,261,31.08,22.52
14.75,-84.75,2015,261,30.93,23.35
14.75,-84.25,2015,261,30.45,24.17
12.75,-86.25,2015,262,28.45,22.08
12.75,-85.75,2015,262,27.91,21.91
12.75,-85.25,2015,262,28.36,22.62
12.75,-84.75,2015,262,28.99,23.49
12.75,-84.25,2015,262,29.25,24.36
13.25,-86.25,2015,262,27.28,20.42
13.25,-85.75,2015,262,27.45,20.94
13.25,-85.25,2015,262,28.7,22.18
13.25,-84.75,2015,262,29.74,23.32
13.25,-84.25,2015,262,29.9,24.19
13.75,-86.25,2015,262,28.55,20.11
13.75,-85.75,2015,262,29.07,20.75
13.75,-85.25,2015,262,29.79,21.82
13.75,-84.75,2015,262,30.54,22.9
13.75,-84.25,2015,262,30.68,23.9
14.25,-86.25,2015,262,30.39,20.34
14.25,-85.75,2015,262,30.88,21.04
14.25,-85.25,2015,262,31.17,21.86
14.25,-84.75,2015,262,31.26,22.77
14.25,-84.25,2015,262,30.95,23.72
14.75,-86.25,2015,262,31.24,20.21
14.75,-85.75,2015,262,31.13,20.66
14.75,-85.25,2015,262,31.4,21.8
14.75,-84.75,2015,262,31.44,22.91
14.75,-84.25,2015,262,31.05,23.79
12.75,-86.25,2015,263,30.97,22.27
12.75,-85.75,2015,263,29.55,22.11
12.75,-85.25,2015,263,30.07,22.86
12.75,-84.75,2015,263,30.67,23.66
12.75,-84.25,2015,263,30.44,24.44
13.25,-86.25,2015,263,29.14,20.76
13.25,-85.75,2015,263,28.9,21.14
13.25,-85.25,2015,263,30.12,22.06
13.25,-84.75,2015,263,30.98,23.17
13.25,-84.25,2015,263,30.76,24.32
13.75,-86.25,2015,263,28.47,20.79
13.75,-85.75,2015,263,29.4,21.14
13.75,-85.25,2015,263,30.35,21.73
13.75,-84.75,2015,263,30.87,22.59
13.75,-84.25,2015,263,30.6,23.72
14.25,-86.25,2015,263,28.37,21.25
14.25,-85.75,2015,263,30.1,21.62
14.25,-85.25,2015,263,30.66,22.19
14.25,-84.75,2015,263,30.55,22.74
14.25,-84.25,2015,263,30.07,23.49
14.75,-86.25,2015,263,27.65,21.22
14.75,-85.75,2015,263,29.73,21.43
14.75,-85.25,2015,263,30.34,22.4
14.75,-84.75,2015,263,30.19,23.32
